nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 0 0 0 s 0.000000000 0.000e+00 20
0 0 0 0 0 0 0 0 0 a 0.170744997 1.000e-06 19
0 0 0 0 0 0 1 0 1 s 9.097072778 1.556e-05 34
0 0 0 0 0 0 1 0 1 a 9.267719754 2.362e-05 30
0 0 0 0 0 0 1 1 1 s 11.191533934 1.119e-05 32
0 0 0 0 0 0 1 1 1 a 11.360026211 9.864e-06 34
0 0 0 0 0 0 1 1 0 s 12.796162974 7.957e-06 33
0 0 0 0 0 0 1 1 0 a 12.964028587 1.137e-05 37
0 0 0 0 0 0 2 0 2 s 26.656523063 1.609e-05 39
0 0 0 0 0 0 2 0 2 a 26.827011796 1.141e-05 33
0 0 0 0 0 0 2 1 2 s 27.779741135 2.067e-05 38
0 0 0 0 0 0 2 1 2 a 27.948707685 2.025e-05 43
0 0 0 0 0 0 2 1 1 s 32.591344675 2.003e-05 45
0 0 0 0 0 0 2 1 1 a 32.758434987 1.622e-05 43
0 0 0 0 0 0 2 2 1 s 38.868941921 1.704e-05 33
0 0 0 0 0 0 2 2 1 a 39.029391064 1.632e-05 40
0 0 0 0 0 0 2 2 0 s 39.501812216 1.860e-05 40
0 0 0 0 0 0 2 2 0 a 39.662269174 1.657e-05 35
0 0 0 0 0 0 3 0 3 s 51.869782886 2.845e-05 36
0 0 0 0 0 0 3 0 3 a 52.040255789 2.945e-05 41
0 0 0 0 0 0 3 1 3 s 52.316595168 2.884e-05 44
0 0 0 0 0 0 3 1 3 a 52.486256492 1.562e-05 33
0 0 0 0 0 0 3 1 2 s 61.763801110 2.431e-05 45
0 0 0 0 0 0 3 1 2 a 61.929662208 2.492e-05 53
0 0 0 0 0 0 3 2 2 s 66.152495456 2.799e-05 55
0 0 0 0 0 0 3 2 2 a 66.313028872 2.970e-05 50
0 0 0 0 0 0 3 2 1 s 68.849084155 2.673e-05 43
0 0 0 0 0 0 3 2 1 a 69.009454672 2.751e-05 45
0 0 0 0 0 0 3 3 1 s 80.939295627 2.718e-05 41
0 0 0 0 0 0 3 3 0 s 81.069842079 2.866e-05 31
0 0 0 0 0 0 3 3 1 a 81.133851921 2.761e-05 35
0 0 0 0 0 0 3 3 0 a 81.264489984 2.850e-05 36
0 0 0 0 0 0 4 0 4 s 84.424032032 3.756e-05 39
0 0 0 0 0 0 4 1 4 s 84.570784752 4.326e-05 35
0 0 0 0 0 0 4 0 4 a 84.595168366 3.370e-04 31
0 0 0 0 0 0 4 1 4 a 84.741502177 4.413e-05 39
0 0 0 0 0 0 4 1 3 s 99.522379080 3.510e-05 47
0 0 0 0 0 0 4 1 3 a 99.686435442 3.703e-05 44
0 0 0 0 0 0 4 2 3 s 102.007420340 3.272e-05 51
0 0 0 0 0 0 4 2 3 a 102.167635134 3.455e-05 57
0 0 0 0 0 0 4 2 2 s 108.467702077 3.302e-05 50
0 0 0 0 0 0 4 2 2 a 108.626851494 3.531e-05 44
0 0 0 0 0 0 4 3 2 s 118.215643470 3.910e-05 47
0 0 0 0 0 0 4 3 2 a 118.364159597 3.537e-05 52
0 0 0 0 0 0 4 3 1 s 119.282408191 3.516e-05 54
0 0 0 0 0 0 4 3 1 a 119.431321003 3.782e-05 42
0 0 0 0 0 0 5 0 5 s 124.354862425 4.558e-05 37
0 0 0 0 0 0 5 1 5 s 124.398248778 1.913e-04 28
0 0 0 0 0 0 5 0 5 a 124.527069822 1.944e-04 32
0 0 0 0 0 0 5 1 5 a 124.570445746 4.292e-04 31
0 0 0 0 0 0 4 4 1 s 137.652329209 2.949e-05 36
0 0 0 0 0 0 4 4 0 s 137.684880789 3.277e-05 41
0 0 0 0 0 0 4 4 1 a 137.807486716 3.564e-05 43
0 0 0 0 0 0 4 4 0 a 137.840062064 3.389e-05 34
0 0 0 0 0 0 5 1 4 s 144.945829842 1.458e-04 43
0 0 0 0 0 0 5 1 4 a 145.107932723 4.213e-05 51
0 0 0 0 0 0 5 2 4 s 146.064527629 4.966e-05 49
0 0 0 0 0 0 5 2 4 a 146.224283287 1.479e-04 45
0 0 0 0 0 0 5 2 3 s 157.738129244 1.462e-04 48
0 0 0 0 0 0 5 2 3 a 157.895208235 4.374e-05 55
0 0 0 0 0 0 5 3 3 s 164.630259377 4.239e-05 58
0 0 0 0 0 0 5 3 3 a 164.778224405 1.452e-04 51
0 0 0 0 0 0 5 3 2 s 168.077355567 1.458e-04 41
0 0 0 0 0 0 5 3 2 a 168.226213785 4.244e-05 50
0 0 0 0 0 0 6 0 6 s 171.717130189 5.996e-05 29
0 0 0 0 0 0 6 1 6 s 171.729131153 1.786e-04 34
