nu1 nu2 nu3a nu3b nu4a nu4b J Ka Kc a/s E uncertainty transitions
0 0 0 0 0 0 0 0 0 s 0.000000000 0.000e+00 14
0 0 0 0 0 0 0 0 0 a 0.405928000 1.000e-06 17
0 0 0 0 0 0 1 0 1 s 11.101763313 4.475e-06 26
0 0 0 0 0 0 1 0 1 a 11.506336315 6.118e-06 31
0 0 0 0 0 0 1 1 1 s 14.372527619 1.238e-05 34
0 0 0 0 0 0 1 1 1 a 14.776091760 9.206e-06 30
0 0 0 0 0 0 1 1 0 s 16.092504460 6.395e-06 26
0 0 0 0 0 0 1 1 0 a 16.493227088 4.532e-06 21
0 0 0 0 0 0 2 0 2 s 32.781968480 6.642e-06 27
0 0 0 0 0 0 2 0 2 a 33.185212581 8.987e-06 34
0 0 0 0 0 0 2 1 2 s 34.851790066 1.149e-05 39
0 0 0 0 0 0 2 1 2 a 35.255522044 1.185e-05 28
0 0 0 0 0 0 2 1 1 s 40.009894493 9.294e-06 37
0 0 0 0 0 0 2 1 1 a 40.405164413 1.109e-05 33
0 0 0 0 0 0 2 2 1 s 49.815429094 1.500e-05 31
0 0 0 0 0 0 2 2 1 a 50.207739742 1.167e-05 41
0 0 0 0 0 0 2 2 0 s 50.334805994 1.546e-05 31
0 0 0 0 0 0 2 2 0 a 50.725781434 1.356e-05 31
0 0 0 0 0 0 3 0 3 s 64.246579699 2.079e-05 30
0 0 0 0 0 0 3 0 3 a 64.650228267 1.548e-05 30
0 0 0 0 0 0 3 1 3 s 65.277591794 1.368e-05 43
0 0 0 0 0 0 3 1 3 a 65.682315974 1.808e-05 30
0 0 0 0 0 0 3 1 2 s 75.485286341 7.549e-05 44
0 0 0 0 0 0 3 1 2 a 75.873297904 4.258e-04 31
0 0 0 0 0 0 3 2 2 s 83.097052223 4.260e-04 34
0 0 0 0 0 0 3 2 2 a 83.485757911 7.612e-05 46
0 0 0 0 0 0 3 2 1 s 85.441172073 4.266e-04 31
0 0 0 0 0 0 3 2 1 a 85.824295888 7.705e-05 46
0 0 0 0 0 0 3 3 1 s 104.002031009 5.202e-04 33
0 0 0 0 0 0 3 3 0 s 104.104819370 2.440e-04 30
0 0 0 0 0 0 3 3 1 a 104.378335753 5.298e-04 24
0 0 0 0 0 0 3 3 0 a 104.480095994 7.855e-04 27
0 0 0 0 0 0 4 0 4 s 104.989936575 6.986e-04 30
0 0 0 0 0 0 4 0 4 a 105.396306316 3.155e-04 39
0 0 0 0 0 0 4 1 4 s 105.418211640 4.376e-04 39
0 0 0 0 0 0 4 1 4 a 105.824640437 6.831e-04 27
0 0 0 0 0 0 4 1 3 s 121.910702337 1.853e-04 50
0 0 0 0 0 0 4 1 3 a 122.292380577 3.596e-04 31
0 0 0 0 0 0 4 2 3 s 127.049669373 3.595e-04 34
0 0 0 0 0 0 4 2 3 a 127.433880801 1.855e-04 48
0 0 0 0 0 0 4 2 2 s 133.000552471 4.226e-04 30
0 0 0 0 0 0 4 2 2 a 133.371926850 1.991e-04 47
0 0 0 0 0 0 4 3 2 s 149.139738457 1.993e-04 42
0 0 0 0 0 0 4 3 2 a 149.509596893 4.746e-04 32
0 0 0 0 0 0 4 3 1 s 149.819946694 1.849e-04 45
0 0 0 0 0 0 4 3 1 a 150.187553914 3.583e-04 32
0 0 0 0 0 0 5 0 5 s 154.935925820 4.341e-04 25
0 0 0 0 0 0 5 1 5 s 155.093805615 2.723e-04 34
0 0 0 0 0 0 5 0 5 a 155.346044377 2.609e-04 32
0 0 0 0 0 0 5 1 5 a 155.504742731 4.601e-04 19
0 0 0 0 0 0 4 4 1 s 177.289525984 4.764e-04 24
0 0 0 0 0 0 4 4 0 s 177.305922938 6.342e-04 24
0 0 0 0 0 0 4 4 1 a 177.645802064 4.215e-04 34
0 0 0 0 0 0 4 4 0 a 177.661861885 3.656e-04 28
0 0 0 0 0 0 5 1 4 s 178.419441842 3.105e-04 47
0 0 0 0 0 0 5 1 4 a 178.796139774 6.265e-04 22
0 0 0 0 0 0 5 2 4 s 181.344512217 6.066e-04 29
0 0 0 0 0 0 5 2 4 a 181.725687925 3.186e-04 40
0 0 0 0 0 0 5 2 3 s 192.650093383 6.266e-04 27
0 0 0 0 0 0 5 2 3 a 193.009163923 3.093e-04 45
0 0 0 0 0 0 5 3 3 s 205.520456049 3.094e-04 41
0 0 0 0 0 0 5 3 3 a 205.882020581 6.331e-04 25
0 0 0 0 0 0 5 3 2 s 207.930738308 7.806e-04 40
0 0 0 0 0 0 5 3 2 a 208.285065119 1.077e-03 26
0 0 0 0 0 0 6 0 6 s 214.140566393 8.110e-04 21
0 0 0 0 0 0 6 1 6 s 214.194940075 3.920e-04 31
0 0 0 0 0 0 6 0 6 a 214.556606132 4.315e-04 27
0 0 0 0 0 0 6 1 6 a 214.611035798 8.656e-04 18
0 0 0 0 0 0 5 4 2 s 233.790694104 6.425e-04 23
0 0 0 0 0 0 5 4 1 s 233.936256236 9.359e-04 23
0 0 0 0 0 0 5 4 2 a 234.138303804 3.529e-04 42
0 0 0 0 0 0 5 4 1 a 234.283140298 3.561e-04 39
0 0 0 0 0 0 6 1 5 s 244.238109090 3.864e-04 41
0 0 0 0 0 0 6 1 5 a 244.613472656 6.586e-04 21
0 0 0 0 0 0 6 2 5 s 245.646811893 6.760e-04 19
0 0 0 0 0 0 6 2 5 a 246.025397531 3.941e-04 36
0 0 0 0 0 0 6 2 4 s 263.685887563 7.549e-04 24
0 0 0 0 0 0 6 2 4 a 264.033163310 5.264e-04 32
0 0 0 0 0 0 5 5 1 s 269.739430351 4.307e-04 26
0 0 0 0 0 0 5 5 0 s 269.741280284 7.462e-04 23
0 0 0 0 0 0 5 5 1 a 270.070480078 1.082e-03 16
0 0 0 0 0 0 5 5 0 a 270.072611194 7.834e-04 17
0 0 0 0 0 0 6 3 4 s 272.899770612 5.321e-04 39
0 0 0 0 0 0 6 3 4 a 273.252755961 8.517e-04 24
0 0 0 0 0 0 6 3 3 s 278.826965023 3.949e-04 35
0 0 0 0 0 0 6 3 3 a 279.164679016 6.704e-04 24
0 0 0 0 0 0 7 0 7 s 282.642375358 8.391e-04 19
0 0 0 0 0 0 7 1 7 s 282.660625327 5.546e-04 23
0 0 0 0 0 0 7 0 7 a 283.066055591 5.445e-04 21
0 0 0 0 0 0 7 1 7 a 283.083370779 8.631e-04 17
0 0 0 0 0 0 6 4 3 s 301.796120402 7.071e-04 19
0 0 0 0 0 0 6 4 3 a 302.133956693 3.767e-04 39
0 0 0 0 0 0 6 4 2 s 302.472471342 7.588e-04 26
0 0 0 0 0 0 6 4 2 a 302.807694478 3.811e-04 34
0 0 0 0 0 0 7 1 6 s 319.071642619 4.596e-04 32
0 0 0 0 0 0 7 1 6 a 319.447356316 8.616e-04 19
0 0 0 0 0 0 7 2 6 s 319.666367448 1.189e-03 19
0 0 0 0 0 0 7 2 6 a 320.045239238 4.671e-04 26
0 0 0 0 0 0 6 5 2 s 337.413369200 6.676e-04 34
0 0 0 0 0 0 6 5 1 s 337.439162701 3.734e-04 32
0 0 0 0 0 0 6 5 2 a 337.735451144 9.419e-04 17
0 0 0 0 0 0 6 5 1 a 337.761520822 6.930e-04 14
0 0 0 0 0 0 7 2 5 s 345.172172947 8.100e-04 20
0 0 0 0 0 0 7 2 5 a 345.510046138 4.633e-04 31
0 0 0 0 0 0 7 3 5 s 350.934523375 4.708e-04 32
0 0 0 0 0 0 7 3 5 a 351.279871960 8.383e-04 22
0 0 0 0 0 0 8 0 8 s 360.449914847 9.832e-04 18
0 0 0 0 0 0 8 1 8 s 360.455951254 5.622e-04 23
0 0 0 0 0 0 8 0 8 a 360.882384210 5.784e-04 18
0 0 0 0 0 0 8 1 8 a 360.887546373 1.004e-03 14
0 0 0 0 0 0 7 3 4 s 362.313081796 4.950e-04 31
0 0 0 0 0 0 7 3 4 a 362.632235610 8.338e-04 22
